date,dfr,d_dfr,short_yield,yield_1y,long_yield,nim_nl,cet1_nl,gdp_nl,defl_nl,credit_nl,shadow_rate,d_ssr
2022-04-01,-0.5,0.0,-0.35761642743221705,-0.09147505928284842,1.2423333333333335,1.28,15.55,2603.1333712409296,476.36910743568154,1368.7170239796826,0.13309197029585612,0.5881737946374805
2022-07-01,0.375,0.875,0.4807406048058236,0.5990098632581939,1.6743333333333332,1.22,15.48,2603.303414055295,478.64778580425923,1370.0070525331334,0.9641465815365446,0.8310546112406885
2022-10-01,1.75,1.375,1.7721233766233766,2.0034943889010672,2.433333333333333,1.41,15.68,2603.9873609533734,480.28268586590616,1370.2410913092174,2.406973720705214,1.4428271391686693
2023-01-01,2.75,1.0,2.631926284584983,2.7882159535012936,2.645,1.58,15.82,2603.4914692976035,482.89787580760725,1370.3891237527012,3.1516502412917298,0.7446765205865158
2023-04-01,3.375,0.625,3.356432806324113,3.0694670557019275,2.732333333333333,1.59,16.11,2603.0457807450953,484.7227787274573,1370.6889547480262,3.5083048601693836,0.3566546188776538
2023-07-01,3.875,0.5,3.7773871635610767,3.44153993286,2.9309999999999996,1.56,16.19,2602.7373457576373,486.12511132897095,1370.7658793573485,3.852122220311377,0.3438173601419936
2023-10-01,3.875,0.0,3.957455988455987,3.3362831094301586,2.859666666666667,1.66,16.08,2602.7373457576373,486.12511132897095,1371.1347843175,3.649820347827656,-0.2023018724837211
2024-01-01,3.875,0.0,3.9236147186147203,3.2256574667666666,2.5883333333333334,1.55,15.72,2602.7373457576373,486.12511132897095,1371.6425495580768,3.5082068348345445,-0.14161351299311153
2024-04-01,3.75,-0.125,3.808171936758893,3.258066867679365,2.7896666666666667,1.56,15.43,2602.7373457576373,486.12511132897095,1372.6136391785456,3.5675258272331214,0.05931899239857685
2024-07-01,3.5,-0.25,3.5553770939205704,2.834862513457576,2.5883333333333334,1.51,15.58,2602.7373457576373,486.12511132897095,1374.1634353822067,3.134941681647609,-0.4325841455855124
2024-10-01,3.125,-0.375,2.9964871698349937,2.326711740726984,2.5156666666666667,1.59,15.56,2602.7373457576373,486.12511132897095,1375.8015263857128,2.5353919645504015,-0.5995497170972075
2025-01-01,2.625,-0.5,2.5568363354,2.1887812707793652,2.7656666666666667,1.44,16.1,2602.7373457576373,486.12511132897095,1377.6912824052456,2.312963616589141,-0.22242834796126054
2025-04-01,2.125,-0.5,2.1076911977,1.8223808436435485,2.755333333333333,1.42,16.36,2602.7373457576373,486.12511132897095,1379.0702363694597,1.8280410635548237,-0.4849225530343173
2025-07-01,,,2.0115719305,1.8734979863651515,2.8689999999999998,1.42,16.38,2602.7373457576373,486.12511132897095,1380.3941898323185,1.783202939440973,-0.044838124113850686
2025-10-01,,,2.040622463766667,1.9477280748953125,2.864333333333333,1.49,16.57,2602.7373457576373,486.12511132897095,1381.8472500411963,1.83674956361126,0.053546624170287105
2026-01-01,,,2.0277272727,,2.9386666666666668,,,2602.7373457576373,486.12511132897095,,1.9155848818949748,0.0788353182837147
2026-04-01,,,,,3.15,,,2602.7373457576373,486.12511132897095,,2.2719401964192434,0.3563553145242686
