date,policy_rate,inflation,credit_growth,gdp_growth,nim_ea,nim_de,nim_es,nim_it,nim_fr,nim_nl,cet1_ea,cet1_de,cet1_es,cet1_it,cet1_fr,cet1_nl,yield_de,yield_es,yield_it,yield_fr,yield_nl,shadow_rate
2021-04-01,-0.5,1.8333333333333333,2.351381898123931,2.152788501217451,1.19,0.84,1.92,1.13,0.99,1.3,15.6,15.74,13.06,15.4,15.88,17.23,-0.27904545453333335,0.4431071428571431,0.8853333333333334,0.11893333333333334,-0.23933333333333331,-2.0281967744898766
2021-07-01,-0.5,2.8666666666666667,1.808520916614705,1.751971928120999,1.18,0.82,1.93,1.13,0.97,1.26,15.47,15.6,13.06,15.3,15.77,17.03,-0.4509090909,0.29375757575757566,0.7176666666666667,-0.02836666666666667,-0.39999999999999997,-2.0980098079982397
2021-10-01,-0.5,4.666666666666667,3.274773454898875,0.7966456728780935,1.21,0.88,1.94,1.16,0.98,1.32,15.6,15.5,12.88,15.31,16.06,16.97,-0.3007359307333333,0.45366666666666666,1.004,0.11653333333333334,-0.25466666666666665,-1.104579991634524
2022-01-01,-0.5,6.133333333333333,4.440055226057682,0.76959213528347,1.2,0.84,2.02,1.16,0.96,1.27,14.99,15.32,12.75,14.6,15.36,15.61,0.1056590752,1.0006738785369234,1.6646666666666665,0.5919333333333333,0.16066666666666665,-0.45508182434162436
2022-04-01,-0.5,8.033333333333333,6.109651852174011,0.9171646999938998,1.23,0.86,2.01,1.22,0.98,1.28,14.96,15.14,12.51,14.9,15.28,15.55,1.0480143540666667,2.1297791068580563,3.0203333333333333,1.6197,1.2423333333333335,0.13309197029585612
2022-07-01,0.25,9.299999999999999,8.432038971975006,0.4427628997367261,1.23,0.86,2.06,1.28,0.96,1.22,14.74,14.87,12.48,14.7,14.96,15.48,1.3039023778333334,2.4870510383336466,3.5980000000000003,1.9340000000000002,1.6743333333333332,0.9641465815365446
2022-10-01,1.4166666666666667,9.966666666666667,7.857197644839616,-0.0522157204509876,1.36,1.0,2.25,1.48,1.01,1.41,15.39,15.87,12.6,15.7,15.58,15.68,2.1127561327666666,3.17673015873016,4.344,2.6576,2.433333333333333,2.406973720705214
2023-01-01,2.5,8.0,5.758936650987901,0.0038217808014717,1.48,1.07,2.53,1.86,0.87,1.58,15.53,16.02,12.71,15.44,16.03,15.82,2.3155685112,3.3516077733860334,4.251,2.8264666666666667,2.645,3.1516502412917298
2023-04-01,3.25,6.2,3.9459327062481453,0.1948910154232264,1.53,1.13,2.54,2.02,0.89,1.59,15.71,16.38,12.7,15.95,16.06,16.11,2.3593602693666664,3.4087070707070697,4.207,2.9247333333333336,2.732333333333333,3.5083048601693836
2023-07-01,3.75,4.933333333333334,1.0755156057734656,0.0180549146949315,1.56,1.13,2.63,2.1,0.89,1.56,15.61,16.36,12.63,16.18,15.84,16.19,2.554582470666667,3.6018343685300196,4.297,3.1300000000000003,2.9309999999999996,3.852122220311377
2023-10-01,4.0,2.733333333333333,0.09231185006760197,0.0772531307389856,1.6,1.17,2.63,2.18,0.91,1.66,15.87,16.81,12.67,15.9,16.1,16.08,2.5088835726,3.5838787878787866,4.378,3.0986333333333334,2.859666666666667,3.649820347827656
2024-01-01,4.0,2.6,0.2847403746095045,0.3333965163139663,1.62,1.1,2.9,2.31,0.87,1.55,15.74,16.51,12.66,15.93,15.9,15.72,2.2853167388,3.21602611832612,3.7929999999999997,2.804933333333333,2.5883333333333334,3.5082068348345445
2024-04-01,3.9166666666666665,2.5,0.42702503338694076,0.2170187451989269,1.61,1.07,2.88,2.31,0.89,1.56,15.81,16.63,12.77,16.23,15.88,15.43,2.4832532467333333,3.3121622843340237,3.8806666666666665,3.051766666666667,2.7896666666666667,3.5675258272331214
2024-07-01,3.6666666666666665,2.1666666666666665,0.9806354241235956,0.4392959594980095,1.58,1.02,2.81,2.3,0.89,1.51,15.73,16.59,12.82,16.39,15.72,15.58,2.2777103331333333,3.1157011418533163,3.6923333333333335,3.0117999999999996,2.5883333333333334,3.134941681647609
2024-10-01,3.1666666666666665,2.1999999999999997,1.4314148974696146,0.3727069347137179,1.6,1.06,2.8,2.33,0.89,1.59,15.97,17.21,12.88,16.15,16.09,15.56,2.2380561306666666,2.9712925810904065,3.4636666666666667,3.0335666666666667,2.5156666666666667,2.5353919645504015
2025-01-01,2.75,2.3333333333333335,2.159264520148585,0.6551527268674917,1.53,1.02,2.71,2.16,0.9,1.44,16.02,17.24,13.04,16.28,15.86,16.1,2.543521645,3.220740764790767,3.712666666666667,3.3150333333333335,2.7656666666666667,2.312963616589141
2025-04-01,2.1666666666666665,2.033333333333333,2.6382600886884675,0.1234205768617435,1.51,1.04,2.66,2.14,0.89,1.42,16.12,17.25,13.18,16.18,16.0,16.36,2.5308015873,3.201812554112553,3.6140000000000003,3.264033333333334,2.755333333333333,1.8280410635548237
2025-07-01,2.1666666666666665,2.066666666666667,2.9295306920300503,0.2639911782124748,1.5,1.05,2.62,1.99,0.91,1.42,16.1,17.39,13.28,15.84,15.97,16.38,2.6659398331,3.2553110922893533,3.5446666666666666,3.4233333333333333,2.8689999999999998,1.783202939440973
2025-10-01,2.1666666666666665,2.033333333333333,3.031235878672548,0.167674205034074,1.52,1.07,2.6,2.03,0.93,1.49,16.26,17.46,13.29,15.85,16.17,16.57,2.696512204433333,3.200698688750863,3.4843333333333333,3.4768333333333334,2.864333333333333,1.83674956361126
2026-01-01,2.1666666666666665,,,,,,,,,,,,,,,,2.820555555566667,3.2792036075036095,3.5376666666666665,3.4858,2.9386666666666668,1.9155848818949748
2026-04-01,2.1666666666666665,,,,,,,,,,,,,,,,3.0237499999999997,3.4657,3.818,3.70825,3.15,2.2719401964192434
